Area,MTU,Fossil Gas  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|SE3,09.01.2022 19:00 - 09.01.2022 20:00 (CET/CEST),0,1498,5830,1183,0,1167
BZN|SE3,09.01.2022 20:00 - 09.01.2022 21:00 (CET/CEST),0,1465,5830,1177,0,1134
BZN|SE3,09.01.2022 21:00 - 09.01.2022 22:00 (CET/CEST),0,1367,5830,1172,0,1135
BZN|SE3,09.01.2022 22:00 - 09.01.2022 23:00 (CET/CEST),0,1353,5829,1165,0,1124
BZN|SE3,09.01.2022 23:00 - 10.01.2022 00:00 (CET/CEST),0,1341,5829,1207,0,1115
BZN|SE3,10.01.2022 00:00 - 10.01.2022 01:00 (CET/CEST),0,1258,5833,1192,0,1095
BZN|SE3,10.01.2022 01:00 - 10.01.2022 02:00 (CET/CEST),0,1250,5833,1155,0,1044
BZN|SE3,10.01.2022 02:00 - 10.01.2022 03:00 (CET/CEST),0,1252,5833,1153,0,986
BZN|SE3,10.01.2022 03:00 - 10.01.2022 04:00 (CET/CEST),0,1251,5834,1157,0,948
BZN|SE3,10.01.2022 04:00 - 10.01.2022 05:00 (CET/CEST),0,1267,5834,1154,0,887
BZN|SE3,10.01.2022 05:00 - 10.01.2022 06:00 (CET/CEST),0,1174,5834,1158,0,812
BZN|SE3,10.01.2022 06:00 - 10.01.2022 07:00 (CET/CEST),0,1345,5834,1171,0,744
BZN|SE3,10.01.2022 07:00 - 10.01.2022 08:00 (CET/CEST),0,1350,5833,1211,0,635
BZN|SE3,10.01.2022 08:00 - 10.01.2022 09:00 (CET/CEST),0,1448,5834,1324,0,546
BZN|SE3,10.01.2022 09:00 - 10.01.2022 10:00 (CET/CEST),0,1447,5826,1377,1,485
BZN|SE3,10.01.2022 10:00 - 10.01.2022 11:00 (CET/CEST),0,1459,5826,1381,3,390
